Salutation,First Name,Last Name,Company,Title,Email,Phone,Mobile,Fax,Website,Lead Source,Industry,Lead Status,Rating,No. of Employees,Annual Revenue,Street,City,State/Province,Zip/Postal Code,Country,Product Interest,Current Generator(s),SIC Code,Primary,Number of Locations,Description
Ms.,Julien,Roux,Roux Global SARL,Buyer,julien.roux@rouxglobal.com,+830 473288368,,,,Other,,Open - Not Contacted,Hot,5,10000000,49 Industrial Ave,,,75001,France,GC5000 series,,,,,
Ms.,Nicolas,Lefebvre,Lefebvre Services SA,,,+282 388769907,,,,Partner Referral,Transportation,Open - Not Contacted,,,,232 Park Lane,Grenoble,,38000,France,,None,,,,
,Michel,Robert,Robert Consulting SAS,Operations Manager,michel.robert@robertconsulting.com,,,,,Web,Environmental,Open - Not Contacted,,,250000,,Toulouse,,31000,France,,,,,,
Mrs.,Laurent,Garcia,LGarcia Technologies SA,Plant Manager,laurent.garcia@lgarciatechnologies.com,,+153 115496821,,,Purchased List,,Open - Not Contacted,,,,101 Main Street,Montpellier,,34000,France,,,,,1,
,,Garcia,Garcia Global SA,,contact@garciaglobal.com,+773 151670885,,,https://www.garciaglobal.com,Other,Hospitality,Open - Not Contacted,,50,,,Strasbourg,,67000,France,,,,No,,
Mr.,Harry,Williams,HWilliams Group Ltd.,,harry.williams@hwilliamsgroup.com,+304 572314252,+833 315294153,,https://www.hwilliamsgroup.com,Purchased List,,Open - Not Contacted,,,250000,229 Via Roma,,,B1 1AA,United Kingdom,,,,No,,Expressed interest during cold call.
Mrs.,Isabelle,Robert,Robert Power SARL,CEO,isabelle.robert@robertpower.com,,+880 524929252,,https://www.robertpower.com,,Shipping,Open - Not Contacted,Cold,,,,Lyon,,69001,France,,,,,,
Dr.,Hao,Yang,"Yang Global Co., Ltd.",President,,+638 184881217,,,https://www.yangglobal.com,,,Open - Not Contacted,,50,,57 Park Lane,Beijing,,100000,China,GC5000 series,,,,,Looking to replace aging equipment fleet.
Mr.,Francisco,Carvalho,FCarvalho Power S.A.,,,+557 266186841,,,,Web,Media,Open - Not Contacted,,,,42 Rue Victor Hugo,Lisbon,,1000-001,Portugal,GC3000 series,,,,,
,,Bertrand,Bertrand Solutions SA,General Manager,contact@bertrandsolutions.com,+189 115736700,+133 244491159,,https://www.bertrandsolutions.com,Purchased List,,Open - Not Contacted,Hot,120,,,Paris,,,France,GC5000 series,,7083,Yes,,
